t,v,r
608.000000,47870.000012,57909000009.775719
609.000000,47870.000012,57909000009.788071
610.000000,47870.000012,57909000009.800415
611.000000,47870.000012,57909000009.812759
612.000000,47870.000012,57909000009.825073
613.000000,47870.000012,57909000009.837387
614.000000,47870.000012,57909000009.849686
615.000000,47870.000012,57909000009.861969
616.000000,47870.000012,57909000009.874245
617.000000,47870.000012,57909000009.886505
618.000000,47870.000012,57909000009.898750
619.000000,47870.000012,57909000009.910988
620.000000,47870.000012,57909000009.923218
621.000000,47870.000012,57909000009.935425
622.000000,47870.000012,57909000009.947624
623.000000,47870.000012,57909000009.959816
624.000000,47870.000012,57909000009.971992
625.000000,47870.000012,57909000009.984146
626.000000,47870.000012,57909000009.996300
627.000000,47870.000012,57909000010.008446
628.000000,47870.000012,57909000010.020569
629.000000,47870.000012,57909000010.032684
630.000000,47870.000012,57909000010.044792
631.000000,47870.000012,57909000010.056885
632.000000,47870.000012,57909000010.068970
633.000000,47870.000012,57909000010.081024
634.000000,47870.000012,57909000010.093079
635.000000,47870.000012,57909000010.105125
636.000000,47870.000012,57909000010.117157
637.000000,47870.000012,57909000010.129166
638.000000,47870.000012,57909000010.141174
639.000000,47870.000012,57909000010.153160
640.000000,47870.000012,57909000010.165146
641.000000,47870.000012,57909000010.177109
642.000000,47870.000012,57909000010.189072
643.000000,47870.000012,57909000010.201012
644.000000,47870.000012,57909000010.212936
645.000000,47870.000013,57909000010.224861
646.000000,47870.000013,57909000010.236771
647.000000,47870.000013,57909000010.248657
648.000000,47870.000013,57909000010.260536
649.000000,47870.000013,57909000010.272408
650.000000,47870.000013,57909000010.284271
651.000000,47870.000013,57909000010.296127
652.000000,47870.000013,57909000010.307961
653.000000,47870.000013,57909000010.319778
654.000000,47870.000013,57909000010.331589
655.000000,47870.000013,57909000010.343384
656.000000,47870.000013,57909000010.355171
657.000000,47870.000013,57909000010.366936
658.000000,47870.000013,57909000010.378700
659.000000,47870.000013,57909000010.390450
660.000000,47870.000013,57909000010.402191
661.000000,47870.000013,57909000010.413910
662.000000,47870.000013,57909000010.425621
663.000000,47870.000013,57909000010.437325
664.000000,47870.000013,57909000010.449005
665.000000,47870.000013,57909000010.460686
666.000000,47870.000013,57909000010.472351
667.000000,47870.000013,57909000010.484001
668.000000,47870.000013,57909000010.495628
669.000000,47870.000013,57909000010.507263
670.000000,47870.000013,57909000010.518867
671.000000,47870.000013,57909000010.530479
672.000000,47870.000013,57909000010.542061
673.000000,47870.000013,57909000010.553642
674.000000,47870.000013,57909000010.565201
675.000000,47870.000013,57909000010.576759
676.000000,47870.000013,57909000010.588303
677.000000,47870.000013,57909000010.599831
678.000000,47870.000013,57909000010.611343
679.000000,47870.000013,57909000010.622849
680.000000,47870.000013,57909000010.634338
681.000000,47870.000013,57909000010.645821
682.000000,47870.000013,57909000010.657288
683.000000,47870.000013,57909000010.668739
684.000000,47870.000013,57909000010.680183
685.000000,47870.000013,57909000010.691620
686.000000,47870.000013,57909000010.703033
687.000000,47870.000013,57909000010.714447
688.000000,47870.000013,57909000010.725838
689.000000,47870.000014,57909000010.737221
690.000000,47870.000014,57909000010.748589
691.000000,47870.000014,57909000010.759949
692.000000,47870.000014,57909000010.771294
693.000000,47870.000014,57909000010.782631
694.000000,47870.000014,57909000010.793945
695.000000,47870.000014,57909000010.805260
696.000000,47870.000014,57909000010.816559
697.000000,47870.000014,57909000010.827843
698.000000,47870.000014,57909000010.839111
699.000000,47870.000014,57909000010.850365
700.000000,47870.000014,57909000010.861618
701.000000,47870.000014,57909000010.872856
702.000000,47870.000014,57909000010.884071
703.000000,47870.000014,57909000010.895279
704.000000,47870.000014,57909000010.906479
705.000000,47870.000014,57909000010.917671
706.000000,47870.000014,57909000010.928841
707.000000,47870.000014,57909000010.940010
708.000000,47870.000014,57909000010.951157
709.000000,47870.000014,57909000010.962296
710.000000,47870.000014,57909000010.973427
711.000000,47870.000014,57909000010.984528
712.000000,47870.000014,57909000010.995628
713.000000,47870.000014,57909000011.006721
714.000000,47870.000014,57909000011.017799
715.000000,47870.000014,57909000011.028862
716.000000,47870.000014,57909000011.039917
717.000000,47870.000014,57909000011.050957
718.000000,47870.000014,57909000011.061989
719.000000,47870.000014,57909000011.072998
720.000000,47870.000014,57909000011.084007
721.000000,47870.000014,57909000011.094994
722.000000,47870.000014,57909000011.105972
723.000000,47870.000014,57909000011.116943
724.000000,47870.000014,57909000011.127892
725.000000,47870.000014,57909000011.138840
726.000000,47870.000014,57909000011.149765
727.000000,47870.000014,57909000011.160675
728.000000,47870.000014,57909000011.171593
729.000000,47870.000014,57909000011.182480
730.000000,47870.000014,57909000011.193359
731.000000,47870.000014,57909000011.204224
732.000000,47870.000015,57909000011.215080
733.000000,47870.000015,57909000011.225922
734.000000,47870.000015,57909000011.236755
